entA	entB	We
10574	6229	1
1021	10006	1
1021	5684	1
1021	1499	1
1021	5515	1
1021	11140	1
1021	55083	1
1021	3326	1
824	5594	1
824	826	1
824	4137	1
6804	23025	1
6804	7431	1
6804	23673	1
6804	5684	1
6804	2010	1
6804	8675	1
6804	11140	1
6804	6812	1
6804	10228	1
6804	6844	1
6804	116841	1
6804	8674	1
6804	6843	1
6804	63908	1
6804	80342	1
6804	2054	1
6804	5354	1
6804	9341	1
6804	2824	1
6804	10815	1
6804	6813	1
6804	10497	1
6804	9342	1
6804	975	1
6804	80777	1
6804	8417	1
6804	9554	1
1495	1457	1
1495	4301	1
1495	3728	1
1495	1499	1
1495	3845	1
1495	1487	1
1495	87	1
1495	229	1
1495	5604	1
1495	23424	1
1495	999	1
1495	9922	1
5058	7431	1
5058	2316	1
5058	5499	1
5058	961	1
5058	998	1
5058	3320	1
5058	8655	1
5058	140735	1
5058	8874	1
5058	1020	1
5058	4155	1
5058	5515	1
5058	2017	1
5058	3182	1
5058	29066	1
5058	5879	1
5058	6130	1
5058	5236	1
5058	84446	1
2934	60	1
2934	27347	1
2934	58	1
3612	7415	1
3612	6285	1
2108	998	1
2108	9131	1
2108	3312	1
2108	3329	1
2108	5163	1
2108	1327	1
2108	2109	1
2108	9804	1
2108	84987	1
2108	94081	1
3800	1459	1
3800	1457	1
3800	23043	1
3800	7430	1
259217	4897	1
259217	4074	1
23499	2273	1
23499	2932	1
23499	5601	1
23499	50807	1
23499	23043	1
23499	9378	1
23499	23011	1
23499	116841	1
23499	26086	1
23499	999	1
23499	6128	1
23499	506	1
23499	4897	1
23499	988	1
55187	2932	1
55187	4259	1
55187	56993	1
55187	9804	1
55187	8567	1
23037	9378	1
23037	6336	1
23037	10458	1
23037	1501	1
23025	23136	1
23025	6812	1
815	10006	1
815	1739	1
815	2904	1
815	88	1
815	5683	1
815	57554	1
815	4137	1
815	22999	1
815	801	1
815	817	1
815	11140	1
815	3837	1
815	6331	1
815	87	1
815	3326	1
815	3927	1
815	2912	1
815	816	1
815	51350	1
815	5701	1
815	5705	1
815	2890	1
815	818	1
815	2913	1
815	81	1
1742	58512	1
1742	22839	1
1742	1741	1
1742	4130	1
1742	2904	1
1742	2906	1
1742	5575	1
1742	5594	1
1742	3190	1
1742	23136	1
1742	6092	1
1742	50944	1
1742	50807	1
1742	23095	1
1742	2902	1
1742	23043	1
1742	6714	1
1742	4155	1
1742	6812	1
1742	1540	1
1742	57555	1
1742	10452	1
1742	27445	1
1742	10992	1
1742	23168	1
1742	1128	1
1742	1786	1
1742	221692	1
1742	4035	1
1742	54413	1
1742	9229	1
1742	5528	1
1742	4129	1
1742	3329	1
1742	8573	1
1742	79869	1
1742	26086	1
1742	547	1
1742	1501	1
1742	2895	1
1742	55681	1
1742	6326	1
1742	8502	1
1742	3737	1
1742	57510	1
1742	5286	1
1742	54862	1
1742	6645	1
1742	51663	1
1742	4897	1
1742	3738	1
1742	9568	1
1742	7343	1
1742	988	1
1742	9901	1
1742	9693	1
1742	864	1
1742	8120	1
1742	8447	1
1742	91662	1
1742	8831	1
1742	3751	1
10006	1838	1
10006	22839	1
10006	667	1
10006	2534	1
10006	5781	1
10006	3190	1
10006	4067	1
10006	6714	1
10006	6708	1
10006	85358	1
10006	10787	1
10006	25	1
10006	23114	1
10006	1398	1
10006	50488	1
10006	10458	1
10006	9456	1
10006	1399	1
10006	773	1
10006	7430	1
